title,author,link
The Lord of the Rings,J. R. R. Tolkien,https://thegreatestbooks.org/items/52
Nineteen Eighty Four,George Orwell,https://thegreatestbooks.org/items/64
Pride and Prejudice,Jane Austen,https://thegreatestbooks.org/items/102
The Grapes of Wrath ,John Steinbeck,https://thegreatestbooks.org/items/36
To Kill a Mockingbird ,Harper Lee,https://thegreatestbooks.org/items/91
Jane Eyre,Charlotte Bronte,https://thegreatestbooks.org/items/107
Wuthering Heights,Emily Brontë,https://thegreatestbooks.org/items/108
A Passage to India ,E. M. Forster,https://thegreatestbooks.org/items/70
Lord of the Flies ,William Golding,https://thegreatestbooks.org/items/51
Hamlet,William Shakespeare,https://thegreatestbooks.org/items/481
A Bend in the River,V. S. Naipaul,https://thegreatestbooks.org/items/249
The Great Gatsby ,F. Scott Fitzgerald,https://thegreatestbooks.org/items/38
The Catcher in the Rye,J. D. Salinger,https://thegreatestbooks.org/items/19
The Bell Jar,Sylvia Plath,https://thegreatestbooks.org/items/1377
Brave New World,Aldous Huxley,https://thegreatestbooks.org/items/126
The Diary of a Young Girl,Anne Frank,https://thegreatestbooks.org/items/818
Don Quixote,Miguel de Cervantes,https://thegreatestbooks.org/items/190
The Bible,Christian Church,https://thegreatestbooks.org/items/1156
The Canterbury Tales,Geoffrey Chaucer,https://thegreatestbooks.org/items/324
Ulysses,James Joyce,https://thegreatestbooks.org/items/122
The Quiet American ,Graham Greene,https://thegreatestbooks.org/items/264
Birdsong,Sebastian Faulks,https://thegreatestbooks.org/items/3279
Money ,Martin Amis,https://thegreatestbooks.org/items/57
Harry Potter and the Deathly Hallows,J. K Rowling,https://thegreatestbooks.org/items/1297
Harry Potter and the Order of the Phoenix,J. K Rowling,https://thegreatestbooks.org/items/1295
Harry Potter And The Chamber Of Secrets,J. K Rowling,https://thegreatestbooks.org/items/118
Harry Potter And The Prisoner Of Azkaban,J. K Rowling,https://thegreatestbooks.org/items/119
Harry Potter and the Goblet of Fire ,J. K Rowling,https://thegreatestbooks.org/items/105
Harry Potter And The Philosopher's Stone,J. K Rowling,https://thegreatestbooks.org/items/117
Harry Potter and the Half-Blood Prince,J. K Rowling,https://thegreatestbooks.org/items/1296
Moby Dick,Herman Melville,https://thegreatestbooks.org/items/208
The Wind in the Willows,Kenneth Grahame,https://thegreatestbooks.org/items/111
His Dark Materials,Philip Pullman,https://thegreatestbooks.org/items/103
Anna Karenina,Leo Tolstoy,https://thegreatestbooks.org/items/213
Alice's Adventures in Wonderland ,Lewis Carroll,https://thegreatestbooks.org/items/211
Rebecca,Daphne du Maurier,https://thegreatestbooks.org/items/110
The Curious Incident of the Dog in the Night-time,Mark Haddon,https://thegreatestbooks.org/items/1418
On the Road,Jack Kerouac,https://thegreatestbooks.org/items/66
Heart of Darkness,Joseph Conrad,https://thegreatestbooks.org/items/135
The Way We Live Now,Anthony Trollope,https://thegreatestbooks.org/items/212
The Stranger ,Albert Camus,https://thegreatestbooks.org/items/322
The Color Purple,Alice Walker,https://thegreatestbooks.org/items/121
Life of Pi,Yann Martel,https://thegreatestbooks.org/items/636
Frankenstein ,Mary Shelley,https://thegreatestbooks.org/items/199
War of the Worlds,H. G. Wells,https://thegreatestbooks.org/items/180
Stories of Ernest Hemingway,Ernest Hemingway,https://thegreatestbooks.org/items/2334
Gulliver's Travels,Jonathan Swift,https://thegreatestbooks.org/items/193
A Christmas Carol,Charles Dickens,https://thegreatestbooks.org/items/539
Robinson Crusoe,Daniel Defoe,https://thegreatestbooks.org/items/192
One Flew Over the Cuckoo's Nest ,Ken Kesey,https://thegreatestbooks.org/items/67
Catch-22 ,Joseph Heller,https://thegreatestbooks.org/items/18
The Count of Monte Cristo,Alexandre Dumas,https://thegreatestbooks.org/items/203
Memoirs of a Geisha,Arthur Golden,https://thegreatestbooks.org/items/3359
The Divine Comedy ,Dante Alighieri,https://thegreatestbooks.org/items/326
The Picture of Dorian Gray,Oscar Wilde,https://thegreatestbooks.org/items/220
